#Strain	Work Hardening Rate
0.01	182.55943255
0.015	183.05184414999994
0.02	184.41812363333338
0.03	185.75202892500005
0.04	187.51584234999996
0.05	189.28434833750003
0.06	191.06047902499995
0.07	192.9757111875
0.08	194.81363695
0.09000000000000001	196.58121873750002
0.1	198.40781205000005
0.11	200.21697497499989
0.12000000000000001	202.0931311375001
0.13	203.97997247500015
0.13999999999999999	205.92517466250007
0.15	207.88603586250005
0.16	209.84850147499998
0.16999999999999998	211.85326378749983
0.18	213.88550575000005
0.19	215.98067338750025
0.19999999999999998	218.1340203375002
0.21	220.3750517749997
0.22	222.6646630375002
0.22999999999999998	224.94087675000048
0.24	227.38593747499942
0.25	229.8172020624994
0.26	232.21798282499984
0.27	234.7930364749997
0.28	237.41410216250017
0.29000000000000004	240.09572953750023
0.30000000000000004	242.89850351250107
0.31	245.59926011250053
0.32	247.44264722499926
0.33	225.56361603749957
0.34	92.87375021249949
0.35000000000000003	-23.80407722500022
0.36000000000000004	54.57981011250008
0.37000000000000005	199.65136332500074
0.38	267.603063150001
0.39	276.4762932374997
0.4	277.8517949874993
0.41000000000000003	239.6254043000004
0.42000000000000004	86.8436649499997
0.43000000000000005	-57.37927325000111
0.44	-2.793210724999545
0.45	45.877106412500225
0.46	118.08245210000042
0.47000000000000003	252.61182223749947
0.48000000000000004	135.77016177499945
0.49000000000000005	-79.10935632499958
0.5	-152.4134761875007
0.51	70.41962477500044
0.52	229.9341481875002
0.53	117.37046308749929
0.54	22.46678636250008
0.55	-159.76824991249984
0.56	-232.70041346250048
0.5700000000000001	-73.0258585249998
0.5800000000000001	-739.336402962499
0.5900000000000001	-790.8854856500044
0.6	-506.25475841250193
0.61	-934.2238761249972
