# Strain	Stress(N/m) 	Mean Volume (A^3)	Mean Energy(eV)	Mean Pressure (N/m) 
0.0	0.0	0.0	0.0	0.0    
0.010000	0.705657	134.035364	-22.729035	0.068948
0.020000	1.232603	134.035364	-22.723653	0.066356
0.030000	1.756962	134.035364	-22.715354	0.055988
0.040000	2.277739	134.035364	-22.704151	0.038880
0.050000	2.794732	134.035364	-22.690060	0.014515
0.060000	3.304091	134.035364	-22.674996	-0.007258
0.070000	3.811996	134.035364	-22.655844	-0.049767
0.080000	4.314306	134.035364	-22.633984	-0.102644
0.090000	4.809972	134.035364	-22.609455	-0.204770
0.100000	5.299947	134.035364	-22.582253	-0.285122
0.110000	5.783353	134.035364	-22.552433	-0.378435
0.120000	6.260496	134.035364	-22.520037	-0.480561
0.130000	6.730993	134.035364	-22.485089	-0.594091
0.140000	7.194548	134.035364	-22.447620	-0.717472
0.150000	7.651280	134.035364	-22.407688	-0.850702
0.160000	8.101187	134.035364	-22.365316	-0.994300
0.170000	8.545447	134.035364	-22.320542	-1.146710
0.180000	8.982796	134.035364	-22.273406	-1.310526
0.190000	9.415174	134.035364	-22.223942	-1.483155
0.200000	9.842495	134.035364	-22.172154	-1.662004
0.210000	10.265212	134.035364	-22.118090	-1.850185
0.220000	10.684527	134.035364	-22.061756	-2.048216
0.230000	11.101077	134.035364	-22.003176	-2.255059
0.240000	11.517276	134.035364	-21.942374	-2.464494
0.250000	11.929728	134.035364	-21.879340	-2.691556
0.260000	12.345176	134.035364	-21.814085	-2.919653
0.270000	12.763330	134.035364	-21.746584	-3.152417
0.280000	13.184221	134.035364	-21.676823	-3.392438
0.290000	13.610033	134.035364	-21.604788	-3.637125
0.300000	14.042692	134.035364	-21.530430	-3.888551
0.310000	14.479938	134.035364	-21.453722	-4.143088
0.320000	14.928400	134.035364	-21.374629	-4.400216
0.330000	15.386743	134.035364	-21.293101	-4.661492
0.340000	15.853479	134.035364	-21.209082	-4.923805
0.350000	16.328348	134.035364	-21.122531	-5.196486
0.360000	16.811954	134.035364	-21.033399	-5.465019
0.370000	17.302577	134.035364	-20.941646	-5.734589
0.380000	17.794042	134.035364	-20.847441	-5.996384
0.390000	18.292240	134.035364	-20.750393	-6.261807
0.400000	18.789257	134.035364	-20.650663	-6.526711
0.410000	19.281826	134.035364	-20.548271	-6.789024
0.420000	19.764107	134.035364	-20.443259	-7.048226
0.430000	20.229080	134.035364	-20.335676	-7.300689
0.440000	20.669604	134.035364	-20.225678	-7.544857
0.450000	21.074555	134.035364	-20.113392	-7.774511
0.460000	21.432496	134.035364	-19.999050	-7.981354
0.470000	21.723543	134.035364	-19.882967	-8.177829
0.480000	21.930634	134.035364	-19.765522	-8.324019
0.490000	22.020297	134.035364	-19.647005	-8.375341
0.500000	21.966671	134.035364	-19.528806	-8.416814
0.510000	21.718610	134.035364	-19.411239	-8.322464
0.520000	21.220833	134.035364	-19.295661	-8.097995
0.530000	20.401648	134.035364	-19.183606	-7.636615
0.540000	-6.234426	134.035364	-20.102448	6.087104
#Thickness for MoS2 already exists. Using existing thickness: 6.5 Å.
#Estimated yield strength using 0.002 and yield strength using linearity method are:  0.71 N/m and  20.40 N/m 
#The ideal_strength ultimate strength is: 22.02 N/m 
#Energy Storage Capacity at max strain 0.490 is 2.767 MJ/L or 161.971 Wh/Kg
